Region,Lansat Date,Urban area,State,A δLST,B δLST,C δLST,D δLST,D-A (°C),A Tree cover %,B Tree cover %,C Tree cover %,D Tree cover %
,18-Jun-16,Poughkeepsie ,NY,-2.18,-0.07,0.52,-0.24,1.93,41.368882,24.5189583,20.8767055,19.0503721
,20-Aug-17,Altoona ,PA,-1.62,-0.21,0.37,0.45,2.07,31.9824477,12.8097953,12.7591205,18.7105594
,16-Jul-17,Manchester,NH,-1.82,-0.46,0.03,0.26,2.08,39.8708242,24.9615847,25.6822236,26.4558246
,16-Jul-15,Syracuse ,NY,-0.96,-0.48,0.39,1.23,2.18,20.2321869,17.9392498,14.81015,10.2759802
,16-Jul-17,Haverhill ,",A",-1.58,0.26,-0.57,0.95,2.53,52.6583442,38.9577296,36.6357811,35.297635
,30-Jul-17,G. NYC Area ,NY,-2.33,-0.79,0.42,0.89,3.22,52.9102958,12.9034713,7.01877387,6.5646306
,1-Aug-17,G. Boston Area,MA,-1.66,-0.87,0.7,1.69,3.35,NA,29.205257,20.9407965,9.95161132
,18-Jun-16,Holyoke Chicopee ,MA,-2.29,-0.1,-0.17,1.14,3.43,40.6540823,24.1612046,31.6259315,23.1924511
,18-Jun-16,New Haven ,CT,-2.14,-0.58,0.55,1.33,3.48,44.0238959,26.6733563,24.472365,22.7889247
,18-Jun-16,New Britain,CT,-2.39,0.18,1.45,1.15,3.55,34.205094,24.3019107,17.7312586,16.2469899
,18-Jun-16,Stamford Area ,CT,-2.01,0.19,1.44,1.86,3.87,36.8352501,27.2072559,15.9494529,15.2416069
,21-Jun-16,Erie ,PA,-2.84,-0.29,0.48,1.08,3.93,34.414655,15.3738915,17.4525274,13.3718735
,16-Jul-15,Utica ,NY,-3.2,-0.19,0.75,0.88,4.08,40.9948906,28.0104128,22.1062213,16.534287
,28-Aug-16,Camden ,NJ,-2.19,-0.42,0.19,2.09,4.28,32.257227,24.6641072,17.7218614,7.36089238
,30-Jul-17,Trenton,NJ,-2.46,0.2,0.13,2.12,4.58,30.8579515,17.4293224,13.5621034,10.0306409
,14-Jun-16,Rochester ,NY,-2.67,-0.19,0.75,2.22,4.9,44.6712397,33.5932882,25.6630996,16.719654
,28-Aug-16,Philadelphia,PA,-3.63,-0.91,1.09,1.58,5.21,36.4590311,16.8617887,10.002973,6.30473587
,18-Jun-16,East Harford ,CT,-2.65,-0.19,1.41,2.74,5.39,41.7641112,28.5795301,19.3492756,13.5831514
South,28-Aug-14,Tampa,FL,-0.41,0.22,-0.21,0.4,0.81,31.3635643,29.9294444,31.3767774,19.0282035
,26-Aug-16,Lynchburg ,VA,-0.97,-0.59,0.35,0.04,1.01,49.4272705,41.343569,25.2417563,25.6081853
,23-Jul-16,Asheville ,NC,-1.63,0.28,0.95,-0.43,1.2,66.5451179,54.3335872,38.5837252,33.3000109
,22-Aug-15,Wheeling ,WV,-2.13,0.75,1.09,-0.81,1.32,40.0034796,17.7134529,22.0886646,23.2542804
,23-Jul-16,Charleston ,WV,-2.15,0.47,1.05,-0.79,1.37,36.0050095,22.977326,23.6916857,38.1359187
,10-Jun-16,Mobile ,AL,-1.25,-0.1,0.43,0.85,2.1,54.007192,49.0414239,44.5234788,31.4362029
,28-Aug-14,St. Petersburg ,FL,-1.39,-0.73,0.01,0.95,2.33,30.821775,30.8133713,22.1591923,19.1381524
,2-Aug-15,New Orleans ,LA,-2.05,-0.64,0.22,0.48,2.53,19.1431544,17.5166637,10.7892798,5.96454338
,2-Jul-16,Richmond ,VA,-1.69,-0.29,0.36,0.93,2.62,54.0787902,36.2259661,20.610561,15.8839589
,25-Jul-16,Winston-Salem ,NC,-2.39,-0.86,0.43,0.32,2.72,59.7982739,37.7086338,29.9554741,22.2661804
,5-Aug-15,Dallas ,TX,-2,-0.1,1.13,0.87,2.87,51.4850255,35.8184727,22.6941133,14.6700914
,25-Jul-15,Norfolk ,VA,-1.91,-1.42,0.02,1.05,2.96,26.7570822,25.1514221,16.0271969,12.1675954
,28-Jun-15,Augusta ,GA,-2.37,-0.74,0.18,0.64,3,60.7908118,47.5099984,34.5137664,19.9112242
,26-Aug-16,Durham ,NC,-2,-0.28,0.79,1.03,3.02,68.5849502,55.0813956,43.3643647,33.2894569
,25-Aug-17,Montgomery ,AL,-2.04,0.14,-0.68,1.4,3.45,57.7447035,44.7761215,35.005935,30.947963
,13-Aug-15,Knoxville ,TN,-3.19,-0.04,0.52,0.42,3.61,47.7753457,34.6994353,26.0650107,25.4638039
,8-Jun-17,Macon ,GA,-3.64,-0.75,0.47,0.26,3.9,72.3214752,47.2967454,34.7469155,27.3669551
,25-Aug-17,Lexington ,KY,-2.92,-0.42,0.45,1.04,3.97,37.6462318,25.8704331,17.4600026,14.6539029
,30-Jun-15,Miami ,FL,-1.69,-0.8,0.6,2.53,4.22,22.0638104,21.2135537,14.9909894,12.909494
,10-Jun-16,Birmingham,AL,-4.75,-0.44,1.44,-0.36,4.39,71.466107,45.5264071,29.6328546,30.2339671
,14-Jun-16,Charlotte ,NC,-3.29,-0.62,0.13,1.14,4.43,59.9699372,46.339051,34.303633,24.252849
,14-Jun-16,Greensboro ,NC,-3.54,-0.69,1.27,1.12,4.67,50.9713702,37.3804514,24.3179244,15.4227152
,14-Jul-16,Atlanta ,GA,-2.85,-1.49,0.08,2,4.85,73.5090518,58.9919667,45.5215607,28.0037254
,2-Jul-16,Baltimore ,MD,-2,-1.49,0.71,3.15,5.15,31.5472311,25.8645409,14.2811003,4.27346781
,15-Jul-17,Louisville ,KY,-3.1,-0.67,0.48,2.1,5.2,36.684449,18.9757403,12.459844,9.56172813
,14-Jun-16,Roanoke,VA,-4.52,0.18,0.64,0.74,5.26,62.3594975,17.0507498,20.4242706,19.143265
,4-Aug-15,Chattanooga,TN,-2.06,-2.32,0.35,3.28,5.34,60.7761426,55.7645188,35.6997253,21.6858639
,9-Jul-16,Jacksonville,FL,-3.06,-0.44,1.09,2.42,5.48,44.2593299,32.8655271,30.4528957,25.8972997
,18-Jun-15,Columbus,GA,-3.53,-1.41,1.46,2.18,5.7,57.7112489,35.1803486,23.9194929,16.5047278
West,14-Jul-17,Seattle,WA,-1.45,0.15,0.9,-0.95,0.5,26.5909125,17.5811975,15.963381,19.0736753
,1-Aug-17,Sacramento,CA,-1.99,-0.63,0.57,-0.18,1.81,31.5239154,26.2724805,17.4459454,13.1049536
,14-Jul-17,Tacoma,WA,-1.63,-1.01,0.52,0.45,2.08,21.2263819,9.07015601,10.092775,8.38613334
,1-Aug-17,Stockton,CA,-1.67,-0.66,0.37,0.88,2.55,14.398254,13.2529087,9.90220527,9.0543984
,16-Jul-17,San Jose,CA,-2,-0.58,0.05,0.65,2.66,15.016858,13.3045082,8.58711431,6.32640354
,29-Aug-14,San Diego,CA,-1.75,-0.65,1.45,1.54,3.29,8.60102919,5.85737788,3.90972823,3.71039564
,10-Aug-17,Spokane,WA,-2.32,-0.69,0.59,1.38,3.7,20.2517654,11.8856836,7.67344435,5.12050328
,14-Jun-17,San Francisco,CA,-2.16,-1.04,1.02,1.93,4.09,17.4888052,8.80772272,8.0224753,7.15635925
,7-Jun-17,Fresno,CA,-3.49,-0.54,0.4,0.61,4.1,13.3585193,8.55784304,4.63416598,4.08142637
,9-Jun-17,Los Angeles,CA,-3.03,-0.56,0.99,1.18,4.21,13.2069081,8.50529132,5.67566238,4.52281283
,1-Aug-16,Denver,CO,-4.09,-2.08,0.4,2.59,6.68,22.2155451,14.2538726,9.13711141,5.48550506
,28-Aug-16,Portland,OR,-4.42,0.52,0.72,2.67,7.09,45.8490713,23.6851911,16.072903,15.513399
